checklist_scientificName	backbone_scientificName	backbone_taxonomicStatus	backbone_acceptedName	backbone_taxonKey	backbone_acceptedKey	backbone_kingdom	backbone_issues	verification_key	date_added	checklists	remarks
Photinia beauverdiana C.K. Schneider var. notabilis (C.K. Schneider) Rehd. & Wilson	Photinia beauverdiana var. notabilis (C.K.Schneider) Rehd. & E.H.Wilson	SYNONYM	Photinia beauverdiana C.K.Schneid.	5363895	5363891	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dasiphora davurica (Nestler) Komarov var. mandshurica (Maxim.) Verloove & Lambinon	Dasiphora davurica var. mandshurica (Maxim.) Verloove & Lambinon	SYNONYM	Dasiphora fruticosa Rydb.	8381801	5370380	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Prunus virginiana L.	Prunus virginiana L.	SYNONYM	Prunus serotina Ehrh.	3022668	3021850	Plantae	CONFLICTING_BASIONYM_COMBINATION	3022668	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Prunus cerasus L.	Prunus cerasus L.	SYNONYM	Prunus avium (L.) L.	3021922	3020791	Plantae	CONFLICTING_BASIONYM_COMBINATION	3021922	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pyracantha crenatoserrata (Hance) Rehder	Pyracantha crenatoserrata (Hance) Rehd.	SYNONYM	Pyracantha fortuneana (Maxim.) H.L.Li	2988170	2988224	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aronia prunifolia (Marshall). Rehd.	Aronia prunifolia (Marsh.) Rehd.	SYNONYM	Photinia floribunda (Lindl.) K.R.Robertson & J.B.Phipps	5363613	5364001	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiraea x brachybotrys Lange	Spiraea brachybotrys Lange	SYNONYM	Spiraea canescens D.Don	3026426	3027138	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malus sylvestris (L.) Mill. subsp. mitis (Wallr.) Mansf.	Malus sylvestris subsp. mitis (Wallr.) Mansf.	SYNONYM	Malus pumila Mill.	3001381	3001093	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiraea x vanhouttei (Briot) Carr.	Spiraea vanhouttei (Briot) Carrière	SYNONYM	Spiraea vanhouttei (Briot) Zabel	8236373	3026622	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiraea chamaedryfolia L. subsp. ulmifolia (Scop.) J. Duvigneaud	Spiraea chamaedrifolia subsp. ulmifolia (Scop.) J.Duvigneaud	SYNONYM	Spiraea chamaedryfolia L.	8324534	3026406	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Linaria supina (L.) Chazelles	Linaria supina (L.) Chaz.	SYNONYM	Linaria supina subsp. supina	5415009	6070567	Plantae	CONFLICTING_BASIONYM_COMBINATION	8233535	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Notodanthonia gracilis (Hook. f.) Zotov	Notodanthonia gracilis (Hook.f.) Zotov	SYNONYM	Rytidosperma gracile (Hook.f.) Connor & Edgar	4146338	4136338	Plantae		4136338	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Setaria adhaerens (Forssk.) Chiov.	Setaria adhaerens (Forssk.) Chiov.	SYNONYM	Setaria verticillata (L.) P.Beauv.	5289670	5289686	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Setaria verticillata (L.) Beauv. var. ambigua (Guss.) Parl.	Setaria verticillata var. ambigua (Guss.) Parl.	SYNONYM	Setaria verticillata (L.) P.Beauv.	7908347	5289686	Plantae		5289686	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum capillare subsp. hillmanii (Chase) Freckmann & Lelong	Panicum capillare subsp. hillmanii (Chase) Freckmann & Lelong	SYNONYM	Panicum hillmanii Chase	4153082	2705098	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Triticum durum Desf.	Triticum durum Desf.	SYNONYM	Triticum turgidum subsp. durum (Desf.) Husn.	2706389	6313051	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena hispanica Ard.	Avena hispanica Ard.	SYNONYM	Avena strigosa Schreb.	8027936	2705295	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis advena (Stapf) S.M. Phillips	Eragrostis advena (Stapf) S.M.Phillips	SYNONYM	Sporobolus advenus (Stapf) P.M.Peterson	4150785	9267300	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
