taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
206097573	Scilla siberica	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2767328	Scilla siberica Haw.	Plantae	SPECIES	SYNONYM	8080743	Scilla siberica Andrews	Plantae	SPECIES	ACCEPTED	8080743	accept	Tim Adriaens	2023-09-15	FALSE
145959601	Scilla siberica	3f5e930b-52a5-461d-87ec-26ecd66f14a3	2767328	Scilla siberica Haw.	Plantae	SPECIES	SYNONYM	8080743	Scilla siberica Andrews	Plantae	SPECIES	ACCEPTED	8080743	accept	Quentin Groom	2018-12-20	TRUE
141267019	Scilla siberica Haw.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2767328	Scilla siberica Haw.	Plantae	SPECIES	SYNONYM	8080743	Scilla siberica Andrews	Plantae	SPECIES	ACCEPTED	8080743	accept	Quentin Groom	2018-12-20	FALSE
206098307	Scilla siehei	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2767277	Scilla siehei (Stapf) Speta	Plantae	SPECIES	SYNONYM	2767275	Scilla forbesii (Baker) Speta	Plantae	SPECIES	ACCEPTED	2767275	accept	Tim Adriaens	2023-09-15	FALSE
141267164	Scirpus atrovirens Willd. subsp. georgianus (R.M. Harper) Verloove & Lambinon	9ff7d317-609b-4c08-bd86-3bc404b77c42	8390304	Scirpus atrovirens subsp. georgianus (R.M.Harper) Verloove & Lambinon	Plantae	SUBSPECIES	SYNONYM	2720269	Scirpus georgianus R.M.Harper	Plantae	SPECIES	ACCEPTED	2720269	accept	Tim Adriaens	2018-12-20	FALSE
141266711	Scorpiurus muricatus L. subsp. muricatus	9ff7d317-609b-4c08-bd86-3bc404b77c42	9388245	Scorpiurus muricatus subsp. muricatus	Plantae	SUBSPECIES	SYNONYM	5358302	Scorpiurus muricatus L.	Plantae	SPECIES	ACCEPTED	5358302	accept	Tim Adriaens	2018-12-20	FALSE
141266785	Scorpiurus muricatus L. subsp. subvillosus (L.) Thell.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8082844	Scorpiurus muricatus subsp. subvillosus (L.) Thell.	Plantae	SUBSPECIES	SYNONYM	5358302	Scorpiurus muricatus L.	Plantae	SPECIES	ACCEPTED	5358302	accept	Tim Adriaens	2018-12-20	FALSE
141266650	Scorpiurus muricatus L. subsp. sulcatus (L.) Thell.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5358307	Scorpiurus muricatus subsp. sulcatus (L.) Thell.	Plantae	SUBSPECIES	SYNONYM	5358302	Scorpiurus muricatus L.	Plantae	SPECIES	ACCEPTED	5358302	accept	Tim Adriaens	2018-12-20	FALSE
206095339	Scorzonera hispanica	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	3110905	Scorzonera hispanica L.	Plantae	SPECIES	SYNONYM	10769750	Pseudopodospermum hispanicum subsp. hispanicum	Plantae	SUBSPECIES	ACCEPTED	3110905	reject: stay with synonym	Tim Adriaens	2023-09-15	FALSE
141265153	Scorzonera hispanica L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3110905	Scorzonera hispanica L.	Plantae	SPECIES	SYNONYM	10769750	Pseudopodospermum hispanicum subsp. hispanicum	Plantae	SUBSPECIES	ACCEPTED	3110905	reject: stay with synonym	Tim Adriaens	2021-05-08	FALSE
206097587	Scrophularia vernalis	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	7332644	Scrophularia vernalis Lapeyr.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	3736228	Scrophularia pyrenaica Benth.	Plantae	SPECIES	ACCEPTED	3736228	accept	Tim Adriaens	2023-09-15	FALSE
141265718	Secale strictum (C. Presl) C. Presl	9ff7d317-609b-4c08-bd86-3bc404b77c42	4121049	Secale strictum (C.Presl) C.Presl	Plantae	SPECIES	SYNONYM	2705967	Secale montanum Guss.	Plantae	SPECIES	SYNONYM				2018-12-20	TRUE
141265773	Secale xderzhavinii Tzvelev	9ff7d317-609b-4c08-bd86-3bc404b77c42											4121360	manual match: to that name (doubtful)	Peter Desmet	2018-12-20	FALSE
141266719	Securigera securidaca (L.) Degen & Dörfl.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5349989	Securigera securidaca (L.) Degen & Dörfl.	Plantae	SPECIES	SYNONYM	5349991	Coronilla securidaca L.	Plantae	SPECIES	ACCEPTED	5349991	accept	Tim Adriaens	2023-09-15	FALSE
