checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Senecio quadridentatus Labill.	Senecio quadridentatus Labill.	3107661	Plantae	SYNONYM	Erechtites quadridentata (Labill.) DC.	3107663			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyanus depressa (Bieb.) Soják	Cyanus depressus (M.Bieb.) Sojak	8334968	Plantae	SYNONYM	Centaurea depressa M.Bieb.	3089549	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Helipterum floribundum DC.	Helipterum floribundum A.Cunn. ex DC.	3137630	Plantae	SYNONYM	Rhodanthe floribunda (DC.) Paul G.Wilson	3137629			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cichorium calvum Schultz-Bip.	Cichorium calvum Sch.Bip.	8199647	Plantae	SYNONYM	Cichorium calvum Sch.Bip. ex Aschers.	5392271			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyanus triumfettii (All.) Á. Löve & D. Löve	Cyanus triumfettii (All.) Dostal ex A. & D.Love	5386028	Plantae	SYNONYM	Centaurea triumfettii subsp. triumfettii	7338495			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Senecio glossanthus (Sonder) Belcher	Senecio glossanthus (Sond.) Belcher	3108121	Plantae	SYNONYM	Erechtites glossantha Sond.	3108123			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Guizotia scabra (Vis,) Chiov. subsp. schimperi (Sch. Bip.) J. Baagøe	Guizotia scabra subsp. schimperi (Sch.Bip.) Baagoe	8335765	Plantae	SYNONYM	Guizotia schimperi Sch.Bip.	3088652			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cichorium endivia L. subsp. endivia	Cichorium endivia subsp. endivia	7823591	Plantae	SYNONYM	Cichorium endivia L.	5392243			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Centaurea x psammogena Gáyer	Centaurea psammogena Gáyer	8708866	Plantae	SYNONYM	Centaurea varnensis Velen.	3128725			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Osteospermum jucundum (Phillips) Norlindh	Osteospermum jucundum (Phill.) T.Norl.	3093587	Plantae	SYNONYM	Dimorphotheca jucunda E.Phillips	5402340	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Xanthium ambrosioides Hook. & Arnott	Xanthium ambrosioides Hook. & Arn.	3089140	Plantae	SYNONYM	Xanthium spinosum var. ambrosioides (Hook & Arn.) Löve & Dans.	8005391			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eurybia divaricata (L.) Nesom	Eurybia divaricata (L.) G.L.Nesom	5396125	Plantae	SYNONYM	Croptilon divaricatum (Nutt.) Raf.	3139628	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erigeron x huelsenii Vatke	Erigeron huelsenii Vatke	3095939	Plantae	SYNONYM	×Conyzigeron huelsenii (Vatke) Rauschert	3095938			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Centaurea algeriensis Coss. & Durieu	Centaurea algeriensis Dur. & Coss.	4207003	Plantae	SYNONYM	Centaurea diluta subsp. algeriensis (Coss. & Dur.) Maire	6076279			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Soliva pterosperma (Juss.) Less.	Soliva pterosperma (Juss.) Less.	3092698	Plantae	SYNONYM	Soliva sessilis Ruiz & Pav.	3092691			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galactites elegans (All.) Nyman ex Soldano	Galactites elegans (All.) Nym. ex A.Soldano	3137580	Plantae	SYNONYM	Centaurea cineraria subsp. cineraria	7066118			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
