taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,bb_speciesKey
141264699,Viola cornuta L.,alien-plants-belgium:taxon:ad0d3353af1fbc6a6ff8dc75528f4fdd,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,7628663,Viola cornuta L.,Plantae,SPECIES,ACCEPTED,,,7628663
141264700,Viola x wittrockiana Gams ex Kappert,alien-plants-belgium:taxon:57abcf5714505df56b1b11c53f2cc3f0,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,rankinv,TRUE,7901652,Viola ×wittrockiana Gams ex Kappert,Plantae,SPECIES,DOUBTFUL,,,7901652
141264702,Tuberaria guttata (L.) Fourr.,alien-plants-belgium:taxon:b3849b43116066050016834b98a77f3d,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2874024,Tuberaria guttata (L.) Fourr.,Plantae,SPECIES,ACCEPTED,,,2874024
141264703,Halimium alyssoides (Lam.) K. Koch,alien-plants-belgium:taxon:593069e247bf64bdfb9fb9add8d3b33d,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,7331240,Halimium alyssoides (Lam.) K.Koch,Plantae,SPECIES,HOMOTYPIC_SYNONYM,3596131,Halimium lasianthum subsp. alyssoides (Lam.) Greuter,8237223
141264705,Persea americana Mill.,alien-plants-belgium:taxon:5e1954c1473dbd33374e44662487fa9f,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3034046,Persea americana Mill.,Plantae,SPECIES,ACCEPTED,,,3034046
141264706,Laurus nobilis L.,alien-plants-belgium:taxon:4dc415a5fdb784c30be70ec21a58f78a,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3034015,Laurus nobilis L.,Plantae,SPECIES,ACCEPTED,,,3034015
141264708,Smilax aspera L.,alien-plants-belgium:taxon:974be2164775503102b77cea3218a5e7,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5295044,Smilax aspera L.,Plantae,SPECIES,ACCEPTED,,,5295044
141264709,Smilax rotundifolia L.,alien-plants-belgium:taxon:4ebbe92200dccabadbef6444cea62b62,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5295375,Smilax rotundifolia L.,Plantae,SPECIES,ACCEPTED,,,5295375
141264711,Acanthus spinosus L.,alien-plants-belgium:taxon:a65145fd1f24f081a1931f9874af48d9,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5415453,Acanthus spinosus L.,Plantae,SPECIES,ACCEPTED,,,5415453
141264712,Acanthus mollis L.,alien-plants-belgium:taxon:509ddbbaa5ecbb8d91899905cfc9491c,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5415455,Acanthus mollis L.,Plantae,SPECIES,ACCEPTED,,,5415455
141264714,Glinus lotoides L.,alien-plants-belgium:taxon:75f445be84d6b9d2960e3274932d511a,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3084616,Glinus lotoides L.,Plantae,SPECIES,ACCEPTED,,,3084616
141264715,Mollugo verticillata L.,alien-plants-belgium:taxon:48a74a2893f998bf0338e496860255f9,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3084611,Mollugo verticillata L.,Plantae,SPECIES,ACCEPTED,,,3084611
141264717,Ilex x meserveae S.Y. Hu,alien-plants-belgium:taxon:e61c09f76116565b41d31633f3049811,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,rankinv,TRUE,5533814,Ilex ×meserveae S.Y.Hu,Plantae,SPECIES,ACCEPTED,,,5533814
141264718,Ilex crenata Thunb.,alien-plants-belgium:taxon:cfdc87251a62a18d41e552d671ad7018,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5414239,Ilex crenata Thunb.,Plantae,SPECIES,ACCEPTED,,,5414239
